ALUMINIUM HYDROXIDE,"Oral suspension: Aluminium hydroxide 250 mg/5 ml and Magnesium hydroxide 250 mg/5 ml; Tablets/Gel: may contain simethicone, and some contain algenic acid",Ulcer and non ulcer dyspepsia; gastro-oesophageal reflux.,"Hypophosphatemia, undiagnosed GI or rectal bleeding, appendicitis, porphyria, renal impairment (aluminium may accumulate), constipation, hepatic impairment, dehydration.",Tablets: 1-2 tablets chewed 4 times a day and at bed time or as required; Suspension: 5-10 ml 4 times daily between meals and at bedtime; Children (6-12 years): up to 5 ml 3 times daily,"Constipation, haemorrhoids, fissures, faecal impaction","Decreases absorption of digoxin, azithromycin, ciprofloxacin, norfloxacin, rifampicin, tetracycline, isoniazid Patient information: Take with water to decrease constipation"
SOLIFENACIN,Tablet: 5 mg and 10 mg,"Overactive bladder (OAB), Urge incontinence","Urinary or gastric retention, uncontrolled
narrow angle glaucoma, severe hepatic impairment, hypersensitivity.
Pregnancy (C), Lactation: Avoid using drug or stop nurse. Bladder outflow
obstruction, controlled narrow angle glaucoma, decreased GI motility, renal
or hepatic impairment. Peripheral edema, exfoliative dermatitis, erythema
multiforme, elevated liver enzymes, hyperkalemia, muscular weakness, renal
impairment, GERD were noted after post marketing.",OAB: 5 mg PO OD; may be increased to 10 mg PO OD,"Dry mouth, Constipation, Abdominal Pain, Blurred Vision","Itraconazole: it will increase the level or effect of
solifencain by inhibiting hepatic/intestinal enzyme CYP3A4 metabolism(C/I)
Coadministration with solifenacin in hepatic/renal impairment may result
in potentially fatal adverse events. Use caution while using Ondansetron/
Ketoconazole/carbamazepine together with Solifencacin.
Patient’s information: Reports if there is headache, confusion, hallucinations
and somnolence."
TOLTERODIN,Tablet: 1 mg and 2 mg,"Overactive bladder, Urge incontinence","Urinary
or
gastric
retention,
Uncontrolled narrow angle glaucoma, hypersensitivity. Pregnancy(C),
Lactation: Unknown. Controlled narrow angle glaucoma, bladder outflow
obstruction, gastrointestinal obstruction, hepatic or renal impairment.
Caution with patients of myasthenia gravis. Reduce dosage of tolterodine
when coadministered with strong CYP3A4. Anaphylaxis and angioedema
necessitating hospitalization and emergency treatment reported with first or
subsequent doses.","OAB, urge incontinence: immediate release 2 mg PO every
12 hour, Extended release: 2-4 mg PO once daily","Dry mouth, blurred vision, constipation, dizziness,
drowsiness, dyspepsia","Carbamazepine will decrease the level or effect
of tolterodine. Clarithromycin will increase the level or effect of tolterodine
by affecting CYP3A4 metabolism.
Patient’s information: Report if dizziness/somnolence occurs. Do not drive or
operate heavy machinery until adjusted to therapy."
BAMBUTEROL,Tablet: 10 mg and 20 mg,"Bronchial asthma, COPD","Renal disorders, liver diseases, heart
diseases, diabetes, epilepsy, hyperthyroidism and hypertension, myocardial
insufficiency, history of seizures, heart disease. Pregnancy category B,
caution in lactation","Initially, 10 mg once daily at bed time, increased if
necessary after 1-2 weeks to 20 mg once daily; not recommended in children.","Muscle cramps, dizziness, headache, muscle tremor,
palpitation, ankle edema, hypokalemia.","Concomitant use of high dose of salbutamol
and corticosteroids or diuretics increases the risk of hypokalemia."
SALBUTAMOL,"Aerosol pressurized inhalation: 100 µg per
inhalation; Dry powder: 200 µg per dose; Injection: 50 µg and 500 µg/ml;
Oral Solution: Each 2 mg/5 ml; Tablets: 2 mg, 4 mg and 8 mg.","Bronchial asthma, COPD","Salbutamol must not be used to prevent
premature labour in the case of pre-eclampsia, placenta previa and bleeding.
Hyperthyroidism, myocardial insufficiency, arrhythmias, susceptibility to
QT-interval prolongation, hypertension, pregnancy (high doses should be
given by inhalation because parenteral use can affect the myometrium and
possibly cause cardiac problems), breastfeeding. Monitor blood Glucose
(Ketoacidosis has been reported in Diabetes Mellitus following Intravenous
administration)","• By mouth: 4 mg (elderly and sensitive patient initially 2 mg) 3-4 times daily;
maximum single dose 8 mg (but unlikely to provide much extra benefit or to
be tolerated), child under 2 years 100 µg /kg 4 times daily; 2-6 years 1-2 mg
3-4 times daily; 6-12 years 2 mg
• By subcutaneous or intramuscular injection: 500 µg , repeated every 4
hours if necessary
• By slow intravenous injection: 250 µg repeated if necessary
• By intravenous infusion: initially 5 µg /minute, adjusted according to
response and heart-rate usually in range 3-20 µg /minute or more if
necessary
• By aerosol inhalation: 100-200 µg (1-2 puffs); for persistent symptoms up
to 3-4 times daily; child 100 µg (1 puff) increased to 200 µg (2 puffs) if
necessary. Prophylaxis in exercise induced bronchospasm, 200 µg (2 puffs);
child 100 µg (1 puff)
• By inhalation of a powder: 200-400 µg ; for persistent symptoms up to 3-4
times daily; child 200 µg. Prophylaxis in exercise-induced bronchospasm
(powder), 400 µg ; child 200 µg
• By inhalation of nebulized solution: adult and child over 18 months, chronic
bronchospasm unresponsive to conventional therapy and severe acute
asthma, 2.5 mg, repeated up to 4 times daily, increased to 5 mg if necessary,
child 2.5 mg increased to 5 mg if required.","Muscle cramps, dizziness, headache, muscle tremor,
palpitation, ankle edema, hypokalemia.","Concomitant use of high dose of salbutamol
and corticosteroids or diuretics increases the risk of hypokalemia."
TERBUTALINE SULFATE,"Aerosol pressurized inhalation: 250 µg dose;
Injection: 500 µg per ml; Tablets: 2.5 mg and 5 mg","Bronchial asthma, COPD","It must not be used to prevent
premature labour in the case of pre-eclampsia, placenta previa and bleeding.
Hyperthyroidism, myocardial insufficiency, arrhythmias, susceptibility to
QT-interval prolongation, hypertension, pregnancy (high doses should be
given by inhalation because parenteral use can affect the myometrium and
possibly cause cardiac problems), breastfeeding. Monitor blood Glucose
(Ketoacidosis has been reported in Diabetes Mellitus following Intravenous
administration). Tolerance develops
in patients receiving long term therapy; dose may have to be changed;
monitor rebound bronchospasm","• Oral: 2.5-5 mg 2-3 times daily; child 0.1 µg /kg 3 times daily.
• By subcutaneous, intramuscular or slow intravenous injection: 250-500 µg
up to 4 times daily; child <12 years 0.01µg /kg every 20 minutes 3 doses;
• By continuous intravenous infusion (as a solution containing): 3-5 µg /ml,
1.5-5 µg /minute for 8-10 hours, reduce dose for children.
• By aerosol inhalation: adults and children 250-500 µg (1-2 puffs), for
persistent symptoms up to 3-4 times daily.","Muscle cramps, dizziness, headache, muscle tremor,
palpitation, ankle edema, hypokalemia.","Increases hypertensive crisis with MAOIs.
Decreases the action of beta-blockers. The effect of terbutaline is increased
with green tea (large amounts)."
MONTELUKAST,"Tablet: 4 mg, 5 mg and 10 mg.","Chronic asthma in adults and children, seasonal allergic rhinitis,
bronchospasm prophylaxis.","Hypersensitivity. Pregnancy, breastfeeding,
children <6 yrs, acute attack of asthma, alcohol consumption, severe hepatic
disease, corticosteroid withdrawal, phenylketonuria, suicidal ideation,
depression.","Adult and child>15 yr: 10 mg/day in PM; child 6 -14 yrs: 5
mg chew tab/day in PM; child 2 – 5 yrs: 1 packet (4 mg) granules taken in PM","Dizziness, fatigue, headache, behavior change,
hallucinations, seizures, agitation, anxiety, Churg-Strauss syndrome.
Patient information: Avoid hazardous activities; dizziness may occur,
continue the use inhaled beta agonists if exercise-induced asthma.",
ZAFIRLUKAST,Tablet: 10 mg and 20 mg.,"Prophylaxis and chronic treatment of asthma in adults/children
>5yr, allergic rhinitis","Hypersensitivity, hepatic encephalopathy.
Pregnancy, breastfeeding, children, geriatric patients, hepatic disease,
Churg-strauss syndrome, acute bronchospasm. Adult patients carefully for
symptoms of Churg- Strauss syndrome; Liver function test.","Adult and children>yr: 20 mg twice daily; Child 5-11yr: 10
mg twice daily; Child >12 yr: 20 mg twice daily","Headache, dizziness, nausea, diarrhea, abdominal pain,
vomiting, hepatic failure, hepatitis, angioedema",Food decrease bioavailability.
SODIUM CROMOGLYCATE,Hard gelatin capsule: 20 mg,"Prophylaxis of asthma, allergic rhinitis, allergic conjunctivitis.","Known hypersensitivity. Pregnancy,
lactation, old age children
and used with caution in patients with cardiac,
hepatic and renal diseases","Inhalation of powder, adults and children, 20 mg 4 times
daily, increased in severe cases to 8 times daily.","Throat irritation and cough, nasal congestion, headache,
dizziness, arthralgia, rashes, bronchospasm
Patient’s information: The capsules are intended for use in an inhaler and
not to be swallowed. Sodium cromoglycate insufflation should be protected
from moisture. Nasal sol. blow nose, hold pump between fingers; if its use,
spray in air until fine mist occurs, Aerosol: take off cover mouthpiece, sake
gently, breathe out slowly, place mouthpiece in mouth, close mouth around
it, till head back, breathe in as inhaler, inhalation: Do not swallow sol, empty
ampule into power driven nebulizer as directed.",
EPHEDRINE HYDROCHLORIDE,Tablets: 30 mg,Reversible airways obstruction,"The drug should be used with caution
in patients with
hypertension, severe renal impairment and prostate
hypertrophy.","15-60 mg 3 times daily; child 3 times daily, up to 1 year: 7.5
mg, 1-5 years: 15 mg, 6-12 years: 30 mg.","Arrhythmias, insomnia, tremor, tachycardia.",
AMINOPHYLLINE,Tablet: 100 mg; Injection: 250 mg/10ml,"Bronchial asthma, COPD, Neonatal apnea.","Hyperthyroidism,
uncontrolled
arrhythmias. Patient of Age> 60 years, patient with liver disease. Should not
be given to the children under one year of age except in apnea of prematurity,
therapeutic dose is near the toxic dose so that give carefully, don’t give IM
or SC.","Adult: 100-300 mg three times a day; Injection: IV dose
6 mg /kg over 20 to 30 minutes as loading dose, then maintenance dose 0.4
to 0.7 mg/kg/hour depending on comorbidities; Child dose, loading dose: IV
5-6mg/kg, maintenance dose: IV 1-2 mg/kg/dose every 8 hours","Headache, dizziness, extra systoles, sinus tachycardia,
anorexia, nervousness, tremor","Additive CVS and CNS side effects can be seen
with sympathomimetic, elevated serum levels in patients receiving cimetidine,
beta blockers, erythromycin, allopurinol or oral contraceptive pills.
Patient information: Suggest patients to take a lot of water with this medicine."
DOXOFYLLINE,Tablet: 400 mg,"Asthma, COPD","Hypersensitivity, acute myocardial
infarction, hypotension. Use with caution in patients with hypoxemia,
hyperthyroidism, liver disease, renal disease, in those with a history of peptic
ulcer and in elderly.","Adult: 400 mg once daily or twice daily; Children: 12 mg/
kg/day","Headache, nausea, vomiting, sleeplessness, dizziness","Should not be administered together with
other xanthine derivatives, including beverages and foods containing caffeine"
THEOPHYLLINE,Tablet: 100 mg and 200 mg,"COPD, Bronchial asthma, Nocturnal asthma","Hyperthyroidism,
uncontrolled
arrhythmias. Patient of Age> 60 years, patient with liver disease. Should not
be given to the children under one year of age except in apnea of prematurity,
therapeutic dose is near the toxic dose so that give carefully, don’t give IM
or SC.Close monitoring
of the patient taking medicine should be done because the effective dose is
very close to the toxic dose.","• Adult: 200 mg bid .Dose can be increased after 1 week up to 300 mg bid,
Over 70 kg: 200-300 mg twice daily;
• Neonatal apnea: Loading dose: PO 5 mg/kg/dose, maintenance dose: PO
3-6 mg/kg/day in 3-4 divided doses; Child: >1 year
• Bronchospasm: PO 12-14 mg/kg/day in 3-4 divided doses (Max. dose 300
mg/day)","Nausea, vomiting, GI upset, headache, dizziness, convulsion","Never combine with ciprofloxacin, corticosteroids,
theophylline, erythromycin and cimetidine they may cause increase the level
of theophylline in the blood. Never combine with carbamazepine; phenytoin
and barbiturates they may cause decrease the level of theophylline in the
blood. Patient information: Suggest patients to take a lot of water with this medicine."
CODEINE PHOSPHATE,"Tablet: 15 mg, 30 mg and 60 mg","Non-productive cough, pain","In asthmatics, patients with decreased
respiratory reserve, patients who are allergic to codeine or oxycodone,
patients with history of drug abuse and drug seeking behavior (due to
abuse liability). It should be cautiously used in patients with severe prostatic
hypertrophy and hepatic disease; pregnancy, breastfeeding, COPD.","• Mild to moderate pain: 30-60 mg every 4 hours when necessary, to a
maximum of 240 mg daily; child 1-12 years, 0.5-1 mg/kg/dose every 6 hours
(Max. dose 60 mg/kg);
• Dry or painful cough: 15-30 mg 3-4 times daily. Child 5-12 years, 1-1.5 mg/
kg 4 times daily.","Nausea, constipation, drowsiness, confusion,
blurred vision, hypotension, bradycardia, respiratory depression on large
doses, physical dependence on prolonged use.","Codeine is used with extreme caution in patient
receiving MAO inhibitors, additive CNS depression occurs with alcohol,
antidepressants, antihistamines, sedative and hypnotics.
Patient information: Avoid driving or other activities requiring high alertnes"
BROMHEXINE,Tablets: 5 mg; Syrup: 4 mg/5 ml,Reduction of sputum viscosity in COPD patients.,"Not recommended for infants < 1 year,
peptic ulcer, severe hepatic /renal impairment. Should be used with caution in
pregnant and breastfeeding women. Since mucolytics may disrupt the gastric
mucosal barrier, bromhexine should be used with caution in patients with a
history of gastric ulceration. Clearance of bromhexine or its metabolites may
be reduced in patients with severe hepatic or renal impairment.","Oral: 8 to 16 mg three times daily; child 2-6 years 8 mg 2-3
divided dose daily; 6-12 years: 4-8 mg per dose three times daily.","Gastrointestinal side effects may occur occasionally with
bromhexine and a transient rise in serum aminotransferase values has
been reported. Other reported adverse effects include headache, vertigo
(dizziness), sweating and allergic reactions.","Should not be given with especially paracetamol
(if so chances of hepatitis is increased).
Patient information: Should be taken after meal."
CARBOCYSTEINE,Capsules: 375 mg; Syrup: 250 mg/5 ml,Reduction of sputum viscosity in COPD.,"Avoid use in pregnancy. It should be used
with caution by patients with a history of peptic ulceration. Should be
cautiously used in children under 2 years old.","750 mg 3 times daily initially; then 1.5 g daily in divided
doses; child 2-5 years 200-500 mg per day 2- 4 times divided dose daily, 6-12
years 300-750 mg 3 times divided dose daily.","Skin rashes, occasional gastro- intestinal irritation.",
PHENYLEPHRINE,"Tablet: 5 mg; Nasal spray: 0.125%, 0.25%,
0.5% and 1%","Nasal congestion associated with acute or chronic rhinitis,
common cold, and sinusitis","Patients with diabetes, hypertension,
ischemic heart disease, hepatic impairment, renal impairment. Stinging may
occur: to rinse dropper with hot water to prevent contamination.","Oral: 5 mg 3-4 times a day; Child 1-6 years: 1-2 drops
0.01%, 6-12 years: 1-2 drops 0.25 %,> 12 years: 0.25 or 0.5%.","Increased heart rate, palpitation, tremors, ventricular
premature contractions and hypertension.",
